time_stamp,teta0,omega0,dt,n_iter,gamma,driving_ang_freq,driving_delta,l,m,damping,g
2022_12_14_14_30_50_053160,-1.57079633,0.0,0.005,20001,1.0641351,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_50_225882,-1.57079633,0.0,0.005,20001,1.063027,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_50_508404,-1.57079633,0.0,0.005,20001,1.0618919,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_50_555294,-1.57079633,0.0,0.005,20001,1.0607838,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_50_680716,-1.57079633,0.0,0.005,20001,1.0652973,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_50_712377,-1.57079633,0.0,0.005,20001,1.0641622,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_50_774903,-1.57079633,0.0,0.005,20001,1.0630541,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_50_649461,-1.57079633,0.0,0.005,20001,1.0661351,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_51_230454,-1.57079633,0.0,0.005,20001,1.0608108,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_51_261674,-1.57079633,0.0,0.005,20001,1.0619189,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_51_450032,-1.57079633,0.0,0.005,20001,1.0653243,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_51_481281,-1.57079633,0.0,0.005,20001,1.0641892,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_51_544216,-1.57079633,0.0,0.005,20001,1.0630811,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_51_967842,-1.57079633,0.0,0.005,20001,1.0653514,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_52_062103,-1.57079633,0.0,0.005,20001,1.0642162,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_52_155852,-1.57079633,0.0,0.005,20001,1.0631081,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_51_779412,-1.57079633,0.0,0.005,20001,1.0661622,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_52_579453,-1.57079633,0.0,0.005,20001,1.061973,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_52_563826,-1.57079633,0.0,0.005,20001,1.0608649,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_52_689250,-1.57079633,0.0,0.005,20001,1.0653784,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_52_720906,-1.57079633,0.0,0.005,20001,1.0642432,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_52_815071,-1.57079633,0.0,0.005,20001,1.0631351,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_53_175576,-1.57079633,0.0,0.005,20001,1.062,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_52_908838,-1.57079633,0.0,0.005,20001,1.0661892,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_53_489575,-1.57079633,0.0,0.005,20001,1.0654054,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_53_568190,-1.57079633,0.0,0.005,20001,1.0642703,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_53_694080,-1.57079633,0.0,0.005,20001,1.0631622,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_53_944814,-1.57079633,0.0,0.005,20001,1.0609189,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_53_991688,-1.57079633,0.0,0.005,20001,1.062027,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_54_070226,-1.57079633,0.0,0.005,20001,1.0642973,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_54_353022,-1.57079633,0.0,0.005,20001,1.0631892,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_54_635024,-1.57079633,0.0,0.005,20001,1.0609459,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_54_697527,-1.57079633,0.0,0.005,20001,1.0620541,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_54_776069,-1.57079633,0.0,0.005,20001,1.0654595,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_54_760442,-1.57079633,0.0,0.005,20001,1.0643243,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_54_933152,-1.57079633,0.0,0.005,20001,1.0632162,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_55_074200,-1.57079633,0.0,0.005,20001,1.060973,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_55_216314,-1.57079633,0.0,0.005,20001,1.0620811,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_55_325621,-1.57079633,0.0,0.005,20001,1.0654865,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_55_309502,-1.57079633,0.0,0.005,20001,1.0643514,6.2831853,0,0.11032751,1,4.712389,9.8
