time_stamp,teta0,omega0,dt,n_iter,gamma,driving_ang_freq,driving_delta,l,m,damping,g
2022_12_14_11_17_56_456281,1.4681815,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_56_581581,1.3260994,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_56_723078,1.4760749,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_56_895420,1.4839684,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_098537,0.07104104,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_208407,0.078934489,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_271488,0.30784451,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_381634,0.3236314,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_366027,0.51307418,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_412817,0.41045934,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_475806,0.78145144,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_554338,0.56043487,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_570054,0.94721387,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_601214,0.76566454,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_629544,1.002468,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_648688,0.88406627,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_680049,1.0814025,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_729927,1.0103615,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_774199,1.0892959,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_805447,1.3497798,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_915253,1.1919108,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_930281,1.2392715,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_946942,1.1208697,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_899631,1.3418863,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_06_931300,1.3655667,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_07_056736,1.4523946,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_07_119240,1.2471649,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_07_135283,1.1287632,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_07_150924,1.1998042,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
